	faith_pd
Dairy10	18.456847858
Dairy100	23.7151441655
Dairy101	30.628639773
Dairy102	35.9554362195
Dairy103	46.04832228750001
Dairy104	27.2609023075
Dairy105	22.1009315525
Dairy106	21.9439371045
Dairy107	23.6368053875
Dairy108	19.824287546500003
Dairy109	21.1943899755
Dairy11	14.1576937415
Dairy110	17.2121039095
Dairy111	22.0498743795
Dairy112	32.1467025635
Dairy113	27.106065280499998
Dairy114	2.8068263014999997
Dairy116	24.529763189500002
Dairy117	28.9589203585
Dairy118	24.351478305500002
Dairy119	36.361010533
Dairy12	19.007718563
Dairy120	24.428564731499996
Dairy121	29.2839081475
Dairy122	14.864488284500002
Dairy124	24.9544122115
Dairy125	28.0326781395
Dairy126	13.6867503815
Dairy127	20.969337733499998
Dairy128	14.6460324055
Dairy129	18.1226911505
Dairy13	18.2841338165
Dairy131	21.653833685499997
Dairy132	24.526520375000004
Dairy133	5.1869933825
Dairy14	25.4751759515
Dairy15	19.8063757905
Dairy16	20.8612783665
Dairy17	28.031040920000002
Dairy18	7.4436782965
Dairy19	25.410885136500003
Dairy2	18.7585923155
Dairy20	25.8223753345
Dairy21	18.0824788535
Dairy22	25.8073351135
Dairy23	24.2201738005
Dairy24	1.5786868575
Dairy26	28.958412267499998
Dairy27	28.029036463
Dairy28	24.158851382499996
Dairy29	31.507116611999997
Dairy3	18.3180320655
Dairy30	26.454694907499995
Dairy31	32.576486161999995
Dairy32	24.3918805555
Dairy33	25.603764444499998
Dairy34	34.7401857395
Dairy36	40.386203927
Dairy37	26.2924827545
Dairy38	15.964403237500001
Dairy39	16.8913025345
Dairy4	35.3248190675
Dairy40	3.9123720705
Dairy41	20.229639707500006
Dairy42	20.1508085515
Dairy43	26.4068022675
Dairy44	38.0496964525
Dairy45	20.734610895499998
Dairy46	20.2800812385
Dairy47	38.8165862945
Dairy48	24.145313485499997
Dairy49	31.089406953500003
Dairy5	12.3746124745
Dairy50	45.0699919585
Dairy51	52.547096702000005
Dairy52	60.356488467999995
Dairy53	39.4343359015
Dairy54	23.0012768095
Dairy55	2.5551985805
Dairy56	41.125359417
Dairy57	22.3374813565
Dairy58	24.8867074195
Dairy59	22.581922231500002
Dairy6	19.1836108425
Dairy60	12.3980328485
Dairy61	11.091403096499999
Dairy62	35.552604955999996
Dairy63	38.8006930325
Dairy64	25.4528015995
Dairy65	13.728483082499999
Dairy66	24.017863301
Dairy67	27.364420254499997
Dairy68	27.1707800365
Dairy69	38.8223418825
Dairy7	16.936511142500002
Dairy70	15.531280297
Dairy71	33.432745883500004
Dairy72	22.0074517475
Dairy73	19.1716771945
Dairy74	32.730284554499995
Dairy75	41.093774526999994
Dairy76	20.659770938499996
Dairy77	28.988686487000003
Dairy78	23.337620126499996
Dairy79	33.0687406415
Dairy8	14.3377692135
Dairy80	16.6775736465
Dairy81	36.479802047
Dairy82	19.799403449499998
Dairy83	32.511817142
Dairy84	20.757204891
Dairy85	14.2832915625
Dairy86	21.4735901385
Dairy87	30.5475213055
Dairy88	38.572000529
Dairy89	17.952077836500003
Dairy9	19.6281001285
Dairy90	31.1283943175
Dairy91	41.649569397499995
Dairy93	26.757404225499997
Dairy94	21.7624332445
Dairy95	12.3169458425
Dairy96	27.3608776855
Dairy97	23.6653960045
Dairy98	25.015399703499998
Dairy99	24.2158644795
